facebook.com,173.252.110.27
youtube.com,74.125.225.161
yahoo.com,206.190.36.45
live.com,65.55.206.154
wikipedia.org,208.80.154.224
msn.com,65.55.206.228
baidu.com,220.181.111.86
blogspot.com,74.125.142.191
microsoft.com,65.55.58.201
qq.com,163.177.65.160
taobao.com,110.75.20.163
bing.com,204.79.197.200
sina.com.cn,202.108.33.60
soso.com,183.61.32.183
163.com,123.58.180.8
ask.com,66.235.120.127
adobe.com,192.150.16.117
twitter.com,199.59.149.198
mozilla.com,63.245.217.194
youku.com,202.102.81.234
sdjjdsaf.com,
andysayler.com,198.199.109.206
wmfo.org,23.92.21.128
amazon.com,72.21.215.232
wordpress.com,76.74.254.126
tudou.com,123.126.98.173
yahoo.co.jp,182.22.59.229
sohu.com,123.125.116.19
apple.com,17.149.160.49
hao123.com,123.125.114.224
windows.com,64.4.11.37
ebay.com,66.211.160.87
pps.tv,58.83.190.154
xunlei.com,58.251.57.175
56.com,59.32.213.232
fc2.com,54.241.180.47
paypal.com,66.211.169.3
sogou.com,218.30.103.177
tmall.com,110.75.20.163
ku6.com,122.11.45.243
rakuten.co.jp,202.72.51.22
about.com,207.241.148.80
orkut.com.br,74.125.142.86
ifeng.com,210.51.19.61
goo.ne.jp,218.213.142.230
bbc.co.uk,212.58.244.18
yandex.ru,213.180.193.11
myspace.com,216.178.46.224
mail.ru,94.100.180.199
cnet.com,64.30.224.118
go.com,68.71.220.3
4399.com,115.182.52.231
orkut.com,74.125.142.87
skype.com,91.190.218.46
ameblo.jp,180.233.142.129
naver.com,125.209.222.142
flickr.com,69.147.76.173
4shared.com,74.117.178.55
amazon.co.jp,54.240.252.0
linkedin.com,216.52.242.86
dailymotion.com,195.8.215.136
imdb.com,207.171.166.22
aol.com,207.200.74.38
